PARK,PLOT_TYPE,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,BIOMASS,STEMS,TOTALINFL,TOPINFL_FR,SIDEINFL_FR,FR_PER_INFL,FINALFR,NOTES,,,,,
RF,ALONE,COLLOM,8,7/10/2024,,,71.0,,4,38,123,45,,1788,,,,,,
RF,ALONE,COLLOM,9,7/10/2024,,,67.3,,1,16,100,44,,760,,,,,,
RF,ALONE,COLLOM,10,7/10/2024,,,56.5,,1,25,110,22,,638,,,,,,
RF,ALONE,COLLOM,11,7/10/2024,,,73.5,,4,237,,,,,,,,,,
RF,ALONE,COLLOM,12,7/10/2024,,,79.9,,2,106,,,,,,,,,,
RF,ALONE,COLLOM,13,7/10/2024,,,80.2,,7,,,,,,,,,,,
RF,ALONE,CLAPUR,2,7/10/2024,,,113.2,,1,,,,,213,,,,,,
RF,ALONE,CLAPUR,4,7/10/2024,,,79.6,,2,,,,,71,,,,,,
RF,ALONE,CLAPUR,5,7/10/2024,,,59.6,,1,,,,,19,,,,,,
RF,ALONE,CLAPUR,6,7/10/2024,,,42.4,,1,,,,,8,,,,,,
RF,ALONE,CLAPUR,7,7/10/2024,,,43.0,,1,,,,,146,,,,,,
RF,ALONE,CLAPUR,8,7/10/2024,,,90.9,,1,,,,,209,,,,,,
RF,ALONE,CLAPUR,9,7/10/2024,,,65.7,,1,,,,,45,,,,,,
RF,ALONE,CLAPUR,10,7/10/2024,,,123.4,,1,,,,,489,,,,,,
RF,ALONE,CLAPUR,11,7/10/2024,,,82.0,,1,,,,,96,,,,,,
RF,ALONE,CLAPUR,12,7/10/2024,,,61.0,,1,,,,,15,,,,,,
RF,ALONE,CLAPUR,13,7/10/2024,,,63.8,,1,,,,,13,,,,,,
RF,ALONE,CLAPUR,14,7/10/2024,,,70.3,,1,,,,,36,,,,,,
RF,ALONE,COLLIN,1,6/28/2024,,,44.4,,4,,,,,879,,,,,,
RF,ALONE,COLLIN,2,6/28/2024,,,38.1,,8,,,,,238,,,,,,
RF,ALONE,COLLIN,3,6/28/2024,,,38.1,,5,,,,,691,,,,,,
RF,ALONE,COLLIN,4,6/28/2024,,,34.3,,5,,,,,478,,,,,,
RF,ALONE,COLLIN,5,6/28/2024,,,29.4,,4,,,,,158,,,,,,
RF,ALONE,COLLIN,6,6/28/2024,,,42.1,,6,,,,,501,,,,,,
RF,ALONE,COLLIN,7,6/28/2024,,,39.4,,5,,,,,474,,,,,,
RF,ALONE,COLLIN,8,6/28/2024,,,47.9,,5,,,,,889,,,,,,
RF,ALONE,COLLIN,9,6/28/2024,,,39.6,,3,,,,,144,,,,,,
RF,ALONE,COLLIN,10,6/28/2024,,,39.5,,1,,,,,129,,,,,,
